0	47
0	276
0	402
0	420
0	464
0	469
1	21
1	188
1	285
1	317
1	459
1	485
2	148
2	150
2	171
2	275
2	318
2	397
3	35
3	157
3	473
3	493
4	28
4	93
4	204
4	209
4	221
4	265
4	323
5	45
5	86
5	106
5	158
5	260
5	357
6	215
6	230
6	236
6	289
6	378
6	458
7	91
7	231
7	319
7	406
7	425
7	460
8	30
8	53
8	94
8	116
8	226
8	401
9	11
9	280
9	294
9	297
9	436
10	123
10	138
10	155
10	330
10	332
10	462
11	9
11	120
11	297
11	408
11	436
12	50
12	90
12	204
12	298
12	383
12	444
13	19
13	101
13	114
13	356
13	375
14	288
14	296
14	373
14	479
14	481
14	484
15	170
15	173
15	233
15	305
15	343
16	67
16	81
16	132
16	223
16	495
17	75
17	87
17	105
17	394
18	112
18	167
18	207
18	284
18	359
18	470
19	13
19	101
19	351
19	375
19	391
19	453
20	82
20	84
20	267
20	340
20	358
20	374
20	482
21	1
21	48
21	51
21	186
21	459
21	485
22	25
22	163
22	170
22	198
22	305
22	366
23	192
23	235
23	250
23	277
23	354
23	440
23	471
24	35
24	157
24	372
24	415
24	491
25	22
25	163
25	195
25	305
25	311
26	157
26	222
26	418
26	491
26	493
27	44
27	239
27	334
27	391
27	453
28	4
28	90
28	204
28	265
28	324
29	58
29	181
29	189
29	191
29	262
29	322
30	8
30	150
30	203
30	214
30	226
30	318
30	401
30	426
31	79
31	88
31	132
31	206
31	224
31	281
31	457
32	339
32	368
32	400
32	429
32	452
33	149
33	187
33	230
33	419
33	450
34	129
34	219
34	378
34	387
34	448
35	3
35	24
35	69
35	157
35	168
35	415
35	473
36	44
36	124
36	257
36	271
36	287
36	466
37	52
37	137
37	154
37	335
37	385
37	456
38	161
38	164
38	231
38	269
38	325
38	360
38	361
38	396
39	76
39	138
39	141
39	194
39	256
39	330
39	347
40	111
40	143
40	262
40	329
40	437
40	499
41	42
41	141
41	213
41	252
41	264
41	480
42	41
42	58
42	185
42	189
42	213
42	252
43	53
43	116
43	160
43	210
43	434
44	27
44	36
44	124
44	271
44	334
44	351
44	391
45	5
45	106
45	158
45	193
45	292
46	108
46	149
46	183
46	244
46	258
46	326
46	389
47	0
47	122
47	464
47	469
47	482
48	21
48	81
48	186
48	223
48	485
48	495
49	102
49	173
49	179
49	343
49	361
49	446
50	12
50	204
50	209
50	255
50	404
50	444
51	21
51	103
51	186
51	362
51	459
52	37
52	103
52	118
52	137
52	172
52	385
53	8
53	43
53	116
53	140
53	226
53	434
54	114
54	205
54	375
54	483
55	113
55	115
55	279
55	369
55	389
56	79
56	91
56	161
56	180
56	206
56	360
57	73
57	290
57	345
57	400
57	422
57	452
58	29
58	42
58	181
58	189
58	252
59	90
59	166
59	241
59	268
59	324
59	354
59	383
